Greg Casar	None	0	0	1	0	0	0
Town hall audience member	None	0	0	0	0	0	1
Dolores Gresham	Republican	0	0	0	0	2	0
Haley Stevens	Democrat	0	0	0	1	0	0
Save Our City	 Milwaukeeans Can't WaitOrganization	0	0	0	1	0	0
Amanda Fritz	Democrat	0	2	0	1	1	0
Celine Gounder	None	1	0	0	0	0	0
Steve Scalise	Republican	0	0	2	1	0	1
Danielle Nierenberg	None	0	1	0	0	0	0
John E. Sununu	Republican	0	0	0	0	1	0
Freedom Defense Advocates	None	0	0	0	0	0	1
Bill Proctor	Republican	0	1	0	0	0	0
David Zuckerman	Democrat	0	1	0	1	0	0
Austin Water Utility	None	1	0	0	0	0	0
Dana Bash	None	0	1	0	0	0	0
Ron Davis	Democrat	0	0	1	0	0	0
Joseph Crowley	Democrat	1	0	1	0	0	0
Lorraine Fende	Democrat	0	1	0	0	0	0
Daily Washington Report	None	0	0	0	0	0	0
Clayton County Government	None	0	0	0	0	1	0
Marjorie Dannenfelser	Newsmaker	0	0	0	1	0	0
David Pennington	None	1	0	0	1	0	0
David Price	Democrat	0	1	1	0	0	0
Bruce Rauner	Republican	3	2	4	4	6	4
National Review	None	1	0	0	0	0	0
Tom Scott	None	0	0	0	0	1	0
Virginia Center for Public Safety	Organization	1	0	0	0	0	0
Barbara Boxer	Democrat	0	4	3	2	0	1
Robert Reich	Democrat	1	2	0	0	1	0
American Unity PAC	Republican	0	0	0	0	1	0
Sheila Resseger	None	0	1	0	0	0	0
Charles Kuck	None	0	0	1	0	0	0
Erin Lynch	Democrat	0	0	0	1	0	0
George Voinovich	Republican	2	0	0	0	0	0
Julius Jones	Activist	0	0	1	0	0	0
Bob Stacey	Democrat	0	0	0	0	2	0
Bonnie Reiss	Democrat	0	1	0	0	0	0
New Jersey Senate Democrats	Democrat	0	1	0	0	0	0
Boyd Richie	Democrat	1	0	0	2	1	1
Georgia state senators	None	0	0	0	0	1	0
Let's Get To Work	Republican	0	0	0	1	0	0
B.o.B.	None	0	0	0	0	0	1
Abel Collins	Independent	0	1	0	0	0	0
Vince Megna	Democrat	0	0	0	0	1	0
Corn Commentary	Organization	0	0	0	0	1	0
Basil Seggos	None	0	0	0	0	1	0
New York Times Editorial Board	Organization	0	0	0	0	1	0
Mark Emmert	None	0	0	1	0	0	0
Chad Mayes	Republican	1	0	0	1	0	0
Ron Klein	Democrat	0	1	0	0	2	0
YG Action Fund	Republican	0	0	1	0	0	0
Everyday Devotional	None	0	0	0	0	0	1
Mark Pocan	Democrat	9	12	5	4	5	1
Michael McAuliff	None	0	1	0	0	0	0
